,finbert_sentiment,finbert_uncertainty,finbert_neg_ratio,finbert_pos_ratio,finbert_sentiment_5d,finbert_uncertainty_5d,finbert_sentiment_22d,finbert_uncertainty_22d,finbert_sentiment_mom5d,finbert_sentiment_std22d
2010-08-03,0.08224202692508698,0.5142777562141418,0.2,0.3,-0.04708888251334429,0.5508979558944702,-0.07345835225317966,0.5721523971720175,-0.035970911383628845,0.16649374389556515
2010-08-04,-0.0676335021853447,0.587797999382019,0.3,0.1,-0.0784459786489606,0.542375135421753,-0.07381194055249746,0.5639760731296106,-0.1567854806780815,0.16647173606012283
2010-08-05,0.17522847652435303,0.6280969381332397,0.1,0.2,-0.039944268949329856,0.5617886543273926,-0.057084347417747434,0.5611292469230565,0.1925085484981537,0.17233436695282048
2010-08-06,-0.03658690303564072,0.5131326913833618,0.2,0.2,0.031564068607985975,0.6042594313621521,-0.04850204564122991,0.5647118951786648,0.35754168778657913,0.16820511833643176
2010-08-09,0.07446739822626114,0.7712863683700562,0.1,0.1,0.045543499290943146,0.6029183506965637,-0.048869798171587965,0.5690277482975613,0.06989715341478586,0.16791352420794625
2010-08-10,-0.010724209249019623,0.8439176678657532,0.1,0.0,0.026950252056121827,0.668846333026886,-0.048254896251654085,0.5822823907841336,-0.0929662361741066,0.16803269495588244
2010-08-11,-0.2033197432756424,0.713380753993988,0.2,0.0,-0.00018699616193771363,0.6939628839492797,-0.05458848614414984,0.5795762586322698,-0.1356862410902977,0.17124891462026856
2010-08-12,-0.2050362527370453,0.5733324885368347,0.3,0.0,-0.07623994201421738,0.6830099940299987,-0.04757600375027819,0.5961563045328314,-0.3802647292613983,0.16103045556042744
2010-08-13,-0.30945929884910583,0.5706321001052856,0.3,0.0,-0.1308144211769104,0.6945098757743835,-0.05803655456243591,0.5945591655644503,-0.2728723958134651,0.17039371415045906
2010-08-16,-0.003119219560176134,0.7144211530685425,0.1,0.0,-0.14633174473419785,0.6831368327140808,-0.05234828910959715,0.6059167710217562,-0.07758661778643727,0.17002618381599466
2010-08-17,-0.009613925591111183,0.6575102210044861,0.2,0.1,-0.14610968800261617,0.6458553433418274,-0.06114336736076935,0.6130143972960386,0.0011102836579084396,0.16204183095758984
2010-08-18,-0.08615676313638687,0.745336651802063,0.1,0.0,-0.12267709197476506,0.6522465229034424,-0.0583865851460194,0.6199749301780354,0.11716298013925552,0.16102780683862156
2010-08-19,-0.015276795253157616,0.5600660443305969,0.2,0.3,-0.08472520047798753,0.6495932340621948,-0.05996665144762532,0.6165879964828491,0.18975945748388767,0.16039662793455056
2010-08-20,0.11232973635196686,0.5389412641525269,0.1,0.3,-0.0003673934377729893,0.643255066871643,-0.04480961767363955,0.6180717376145449,0.4217890352010727,0.1601975697299556
2010-08-23,-0.09974822402000427,0.714078426361084,0.1,0.0,-0.019693194329738616,0.6431865215301513,-0.05820610295896503,0.6224148625677283,-0.09662900445982814,0.15126484036974433
2010-08-24,0.0701344907283783,0.7381628751754761,0.1,0.1,-0.003743511065840721,0.6593170523643493,-0.046269523043354806,0.6312567808411338,0.07974841631948948,0.1505247851799545
2010-08-25,0.06418482959270477,0.5050123929977417,0.2,0.2,0.02632480747997761,0.6112522006034851,-0.030343699078498917,0.6276079958135431,0.15034159272909164,0.14223949851330556
2010-08-26,-0.2695391774177551,0.6075748205184937,0.4,0.0,-0.024527668952941895,0.6207539558410644,-0.04796879524788396,0.6244168471206318,-0.2542623821645975,0.14690210664965478
2010-08-27,-0.15523722767829895,0.6437050700187683,0.2,0.0,-0.07804106175899506,0.6417067170143127,-0.05907739552838558,0.6250210729512301,-0.2675669640302658,0.14527058426406295
2010-08-30,-0.13804304599761963,0.7324182987213135,0.1,0.0,-0.08570002615451813,0.6453746914863586,-0.06456662162037735,0.6341751163656061,-0.038294821977615356,0.14589625442018248
2010-08-31,-0.22614488005638123,0.6111167669296265,0.3,0.0,-0.14495590031147004,0.6199654698371887,-0.05693099840374833,0.6482813873074271,-0.2962793707847595,0.13151386670753043
2010-09-01,-0.04529295489192009,0.5783580541610718,0.2,0.1,-0.166851457208395,0.6346346020698548,-0.05919750748117539,0.639207127419385,-0.10947778448462486,0.130831382868451
2010-09-02,0.056295204907655716,0.6217930912971497,0.2,0.1,-0.10168458074331284,0.637478256225586,-0.06037690848196772,0.6440941881049763,0.32583438232541084,0.12960685766371455
